"hosname","amprhcode","pdx","diease"
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,N939,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,O100,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,R509,15
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,R53,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,U071,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z017,86
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z028,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z235,3
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z480,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z717,3
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z718,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z725,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z751,6
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E782,7
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,E785,28
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E785,9
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,G408,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,H10,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,H100,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,H539,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,H813,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,H82,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,I10,208
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,A084,8
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,I679,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J02,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J029,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J039,11
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,J069,5
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K041,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K045,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K051,4
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,K120,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K292,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,K522,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K529,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,K831,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,L22,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,L239,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,L309,4
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,A099,14
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M100,10
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M1009,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M1029,8
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M170,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M2352,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M2553,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M2557,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M543,6
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M545,5
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,M779,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,M7919,5
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,N209,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,N72,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,P83,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,R05,10
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,R05,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,R293,3
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,B37,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,R42,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,A090,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,R42,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,R53,3
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z01,2
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z012,16
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z131,11
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z242,28
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z480,208
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,Z712,1
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,Z719,4
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,C189,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E059,1
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,B000,2
คลินิกเวชกรรมเอมมิตรการแพทย์,เขตคลองสาน,E119,20
ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,E780,11
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,Z019,9
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,A049,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,A419,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,B029,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,B356,6
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,C437,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,C61,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,D568,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E039,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E102,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E112,25
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E116,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E118,52
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,E119,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E119,398
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E785,49
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E875,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F0632,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F1925,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F29,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F329,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,G20,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,G409,3
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,G44,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,G440,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,G470,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,G510,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H000,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H001,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H102,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H110,12
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H360,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H439,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H612,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H811,3
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,I10,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I251,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I254,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I638,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I639,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I64,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I660,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I849,1
คลินิกเวชกรรมกล้วยน้ำไท สาขาเลียบคลองสอง,เขตคลองสามวา,J00,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J00,32
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J028,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J029,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J030,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,J069,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J209,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J304,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J449,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J47,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K006,7
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K021,31
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K030,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K031,6
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K040,10
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K044,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K047,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K051,20
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K120,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K296,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K297,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K30,8
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K602,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K703,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L039,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L049,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L088,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L108,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L209,10
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L239,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L309,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L509,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L608,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M1097,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M1397,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M1399,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M2554,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M329,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M4859,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M545,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M5459,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M6534,5
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M671,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M719,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M722,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M750,7
คลินิกเวชกรรมกล้วยน้ำไท สาขาเลียบคลองสอง,เขตคลองสามวา,M766,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7911,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7917,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M8150,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N10,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N183,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N300,9
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N61,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R002,1
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,R05,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R060,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R490,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R53,6
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,U071,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z012,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,Z017,10
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z020,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,Z038,7
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z099,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z115,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z206,9
รพ.คลองสามวา,เขตคลองสามวา,Z242,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z242,51
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,Z273,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z290,7
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,Z48,4
คลินิกเวชกรรมกล้วยน้ำไท สาขาเลียบคลองสอง,เขตคลองสามวา,Z480,8
รักษ์ชีวาคลินิกเวชกรรม,เขตคลองสามวา,Z480,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z480,177
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z515,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H109,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,A099,14
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,A162,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,B308,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,D649,5
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E041,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E053,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E109,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E110,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E113,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E117,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E669,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E780,27
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E781,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,E782,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F0002,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F209,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F2098,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F419,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,F4321,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H609,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H624,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,H650,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I10,352
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I259,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,I872,1
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,J00,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J019,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,J029,2
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,J03,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,J039,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J060,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J069,9
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J181,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,J303,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J303,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,J459,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K020,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K029,7
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K032,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K045,2
คลินิกเวชกรรมการ์เด้นท์โฮม,เขตคลองสามวา,K050,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K050,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K052,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K053,26
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K083,16
รักษ์ชีวาคลินิกเวชกรรม,เขตคลองสามวา,K219,4
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,K30,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K590,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,K709,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L029,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L031,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L033,5
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,L239,10
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L500,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,L600,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M179,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M4726,1
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,M545,5
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M6268,7
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M751,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M791,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7910,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7912,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7915,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7916,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7918,4
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,M7919,5
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N184,2
คลินิกเวชกรรมกล้วยน้ำไท สาขาเลียบคลองสอง,เขตคลองสามวา,N189,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N40,2
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,N800,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,N946,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,O926,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R05,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R074,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R104,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R13,1
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R200,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R42,17
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R509,3
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R51,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,R731,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,U099,2
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z017,1449
รวมแพทย์บางชันสหคลินิก,เขตคลองสามวา,Z018,18
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z019,5
ศูนย์บริการสาธารณสุข64 คลองสามวา,เขตคลองสามวา,Z235,14
