"yearmonth","hosname","amprhcode","ampr_nb","hnamehos","ampr_main_nb","timecup"
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.ศิริราช,"20",4
"256506",ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,เขตสวนหลวง,"34",รพ.เจริญกรุงประชารักษ์,"31",7
"256506",ศูนย์บริการสาธารณสุข23 สี่พระยา,เขตบางรัก,"04",รพ.กลาง,"08",231
"256506",ศูนย์บริการสาธารณสุข23 สี่พระยา,เขตบางรัก,"04",รพ.ตากสิน,"18",1
"256506",ศูนย์บริการสาธารณสุข23 สี่พระยา,เขตบางรัก,"04",รพ.บางมดโรงพยาบาลทั่วไปขนาดใหญ่,"35",1
"256506",ศูนย์บริการสาธารณสุข23 สี่พระยา,เขตบางรัก,"04",รพ.ราชวิถี,"37",1
"256506",ศูนย์บริการสาธารณสุข23 สี่พระยา,เขตบางรัก,"04",รพ.รามาธิบดี  มหาวิทยาลัยมหิดล,"37",1
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",รพ.ทหารผ่านศึก,"14",5
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",รพ.นพรัตนราชธานี,"43",3
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",รพ.พระมงกุฎเกล้า,"37",4
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",รพ.ภูมิพลอดุลยเดช,"42",84
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",รพ.มงกุฎวัฒนะ,"41",50
"256506",ศูนย์บริการสาธารณสุข24  บางเขน,เขตจตุจักร,"30",สถาบันพัฒนาสุขภาวะเขตเมือง,"05",5
"256506",ศูนย์บริการสาธารณสุข25 ห้วยขวาง,เขตห้วยขวาง,"17",รพ.กลาง,"08",5
"256506",คลินิกเวชกรรมพีเอ็มซี,เขตดอนเมือง,"36",ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"14",2
"256506",ศูนย์บริการสาธารณสุข25 ห้วยขวาง,เขตห้วยขวาง,"17",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",6
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.กลาง,"08",3
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.ตำรวจ,"07",1
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.ราชพิพัฒน์,"40",1
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.ศิริราช,"20",2
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.เจริญกรุงประชารักษ์,"31",2
"256506",ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,เขตธนบุรี,"15",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",4
"256506",ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,เขตธนบุรี,"15",รพ.กลาง,"08",1
"256506",ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,เขตธนบุรี,"15",รพ.ราชพิพัฒน์,"40",1
"256506",ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,เขตธนบุรี,"15",รพ.เจริญกรุงประชารักษ์,"31",59
"256506",ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,"18",รพ.กลาง,"08",2
"256506",ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,"18",รพ.พระมงกุฎเกล้า,"37",1
"256506",ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,เขตคลองสาน,"18",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",1
"256506",ศูนย์บริการสาธารณสุข29 ช่วง นุชเนตร,เขตจอมทอง,"35",รพ.เจริญกรุงประชารักษ์,"31",4
"256506",ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,"29",รพ.กลาง,"08",107
"256506",ศูนย์บริการสาธารณสุข3 บางซื่อ,เขตบางซื่อ,"29",รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"02",7
"256506",ศูนย์บริการสาธารณสุข31 เอิบ - จิตร ทังสุบุตร,เขตบางพลัด,"25",รพ.กลาง,"08",2
"256506",ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,เขตพระโขนง,"09",นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"10",2
"256506",ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,เขตพระโขนง,"09",รพ.ตากสิน,"18",1
"256506",ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,เขตพระโขนง,"09",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",2
"256506",ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,เขตพระโขนง,"09",รพ.ผู้สูงอายุขนาดกลางกล้วยน้ำไท 2,"47",7
"256506",ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,เขตพระโขนง,"09",รพ.สิรินธร,"32",111
"256506",ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,เขตบางกอกใหญ่,"16",รพ.ราชวิถี,"37",2
"256506",ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,เขตบางกอกใหญ่,"16",รพ.ศิริราช,"20",286
"256506",ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,เขตบางกอกใหญ่,"16",รพ.เจริญกรุงประชารักษ์,"31",2
"256506",ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,เขตบางกอกใหญ่,"16",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",1
"256506",ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,เขตพระโขนง,"09",รพ.กล้วยน้ำไท,"33",5
"256506",ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,เขตพระโขนง,"09",รพ.ลาดกระบังกรุงเทพมหานคร,"11",1
"256506",ศูนย์บริการสาธารณสุข35 หัวหมาก,เขตบางกะปิ,"06",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",10
"256506",ศูนย์บริการสาธารณสุข35 หัวหมาก,เขตบางกะปิ,"06",รพ.ราชวิถี,"37",2
"256506",ศูนย์บริการสาธารณสุข35 หัวหมาก,เขตบางกะปิ,"06",รพ.สิรินธร,"32",111
"256506",ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,เขตสวนหลวง,"34",รพ.กลาง,"08",1
"256506",ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,เขตสวนหลวง,"34",รพ.นพรัตนราชธานี,"43",165
"256506",ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,เขตสวนหลวง,"34",รพ.พระมงกุฎเกล้า,"37",6
"256506",ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,เขตสวนหลวง,"34",รพ.สิรินธร,"32",462
"256506",ศูนย์บริการสาธารณสุข39 ราษฎร์บูรณะ,เขตราษฎร์บูรณะ,"24",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",83
"256506",ศูนย์บริการสาธารณสุข4 ดินแดง,เขตดินแดง,"26",รพ.ราชวิถี,"37",1
"256506",ศูนย์บริการสาธารณสุข40  บางแค,เขตบางแค,"40",รพ.ตากสิน,"18",1163
"256506",ศูนย์บริการสาธารณสุข40  บางแค,เขตบางแค,"40",รพ.ราชพิพัฒน์,"40",949
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.กล้วยน้ำไท,"33",332
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.ตำรวจ,"07",14
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.สมเด็จพระปิ่นเกล้า,"15",1
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.สิรินธร,"32",1
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.เจริญกรุงประชารักษ์,"31",421
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",2
"256506",ศูนย์บริการสาธารณสุข41 คลองเตย,เขตคลองเตย,"33",สถาบันพัฒนาสุขภาวะเขตเมือง,"05",11
"256506",ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,เขตบางขุนเทียน,"21",รพ.บางมดโรงพยาบาลทั่วไปขนาดใหญ่,"35",8
"256506",ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,เขตบางขุนเทียน,"21",รพ.ราชพิพัฒน์,"40",1
"256506",ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,เขตบางขุนเทียน,"21",รพ.สมเด็จพระปิ่นเกล้า,"15",5
"256506",ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,เขตบางขุนเทียน,"21",รพ.ไอเอ็มเอช ธนบุรี โรงพยาบาลทั่วไปขนาดใหญ่,"24",12
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"10",76
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",2
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.นพรัตนราชธานี,"43",1526
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.ภูมิพลอดุลยเดช,"42",1
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.ราชวิถี,"37",4
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.ศิริราช,"20",3
"256506",ศูนย์บริการสาธารณสุข43  มีนบุรี,เขตมีนบุรี,"10",รพ.สิรินธร,"32",22
"256506",ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,เขตหนองจอก,"03",รพ.กลาง,"08",1
"256506",ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,เขตหนองจอก,"03",รพ.เวชการุณย์รัศมิ์,"03",294
"256506",ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,เขตลาดกระบัง,"11",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",9
"256506",ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,เขตลาดกระบัง,"11",รพ.นพรัตนราชธานี,"43",93
"256506",ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,เขตลาดกระบัง,"11",รพ.สิรินธร,"32",14
"256506",ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,เขตลาดกระบัง,"11",รพ.เจริญกรุงประชารักษ์,"31",1
"256506",ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,เขตลาดกระบัง,"11",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",4
"256506",ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,เขตลาดกระบัง,"11",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",22
"256506",ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,เขตลาดกระบัง,"11",รพ.นพรัตนราชธานี,"43",110
"256506",ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,เขตลาดกระบัง,"11",รพ.ศิริราช,"20",4
"256506",ศูนย์บริการสาธารณสุข47 คลองขวาง,เขตภาษีเจริญ,"22",รพ.กลาง,"08",8
"256506",ศูนย์บริการสาธารณสุข47 คลองขวาง,เขตภาษีเจริญ,"22",รพ.ราชพิพัฒน์,"40",1
"256506",ศูนย์บริการสาธารณสุข47 คลองขวาง,เขตภาษีเจริญ,"22",รพ.ศิริราช,"20",13
"256506",ศูนย์บริการสาธารณสุข47 คลองขวาง,เขตภาษีเจริญ,"22",รพ.สิรินธร,"32",3
"256506",ศูนย์บริการสาธารณสุข47 คลองขวาง,เขตภาษีเจริญ,"22",รพ.เลิดสิน,"04",2
"256506",ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,เขตหนองแขม,"23",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",2
"256506",ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,เขตหนองแขม,"23",รพ.ศิริราช,"20",11
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.กลาง,"08",4
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.ตากสิน,"18",294
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.พระมงกุฎเกล้า,"37",1
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.ราชพิพัฒน์,"40",4
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"23",2
"256506",ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,เขตตลิ่งชัน,"19",รพ.เจริญกรุงประชารักษ์,"31",4
"256506",ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,เขตปทุมวัน,"07",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",1
"256506",ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,เขตปทุมวัน,"07",รพ.ตำรวจ,"07",119
"256506",ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,เขตปทุมวัน,"07",รพ.ราชพิพัฒน์,"40",3
"256506",ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,เขตปทุมวัน,"07",รพ.เลิดสิน,"04",7
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"10",2
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.ตากสิน,"18",3
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.ทั่วไปขนาดใหญ่แพทย์ปัญญา,"34",3
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.นพรัตนราชธานี,"43",474
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.รามาธิบดี  มหาวิทยาลัยมหิดล,"37",1
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.วชิรโรงพยาบาล คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,"02",1
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.หลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,"23",1
"256506",ศูนย์บริการสาธารณสุข50 บึงกุ่ม,เขตบึงกุ่ม,"27",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",2
"256506",ศูนย์บริการสาธารณสุข51 จตุจักร,เขตจตุจักร,"30",รพ.กลาง,"08",4
"256506",ศูนย์บริการสาธารณสุข51 จตุจักร,เขตจตุจักร,"30",รพ.ตำรวจ,"07",1
"256506",ศูนย์บริการสาธารณสุข51 จตุจักร,เขตจตุจักร,"30",รพ.ราชวิถี,"37",2
"256506",ศูนย์บริการสาธารณสุข51 จตุจักร,เขตจตุจักร,"30",รพ.รามาธิบดี  มหาวิทยาลัยมหิดล,"37",15
"256506",ศูนย์บริการสาธารณสุข51 จตุจักร,เขตจตุจักร,"30",รพ.เพชรเวชโรงพยาบาลทั่วไปขนาดใหญ่,"17",2
"256506",ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,"26",รพ.กล้วยน้ำไท,"33",4
"256506",ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,"26",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",14
"256506",ศูนย์บริการสาธารณสุข52 สามเสนนอก,เขตดินแดง,"26",รพ.ศิริราช,"20",1
"256506",ศูนย์บริการสาธารณสุข53 ทุ่งสองห้อง,เขตหลักสี่,"41",รพ.ราชวิถี,"37",102
"256506",ศูนย์บริการสาธารณสุข56 ทับเจริญ,เขตบึงกุ่ม,"27",รพ.นพรัตนราชธานี,"43",946
"256506",ศูนย์บริการสาธารณสุข56 ทับเจริญ,เขตบึงกุ่ม,"27",รพ.บางมดโรงพยาบาลทั่วไปขนาดใหญ่,"35",2
"256506",ศูนย์บริการสาธารณสุข56 ทับเจริญ,เขตบึงกุ่ม,"27",รพ.ภูมิพลอดุลยเดช,"42",4
"256506",ศูนย์บริการสาธารณสุข56 ทับเจริญ,เขตบึงกุ่ม,"27",รพ.รามาธิบดี  มหาวิทยาลัยมหิดล,"37",3
"256506",ศูนย์บริการสาธารณสุข56 ทับเจริญ,เขตบึงกุ่ม,"27",รพ.ลาดกระบังกรุงเทพมหานคร,"11",4
"256506",ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,เขตราษฎร์บูรณะ,"24",รพ.ตากสิน,"18",107
"256506",ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,เขตราษฎร์บูรณะ,"24",รพ.เจริญกรุงประชารักษ์,"31",182
"256506",ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,เขตราษฎร์บูรณะ,"24",รพ.เลิดสิน,"04",2
"256506",ศูนย์บริการสาธารณสุข59 ทุ่งครุ,เขตทุ่งครุ,"49",รพ.จุฬาลงกรณ์สภากาชาดไทย,"07",6
"256506",ศูนย์บริการสาธารณสุข59 ทุ่งครุ,เขตทุ่งครุ,"49",รพ.ตากสิน,"18",358
"256506",ศูนย์บริการสาธารณสุข59 ทุ่งครุ,เขตทุ่งครุ,"49",รพ.บางมดโรงพยาบาลทั่วไปขนาดใหญ่,"35",4
