"number","hosname","hcode1","ampr_nb","amprhcode","hnamehos","hmain2","ampr_main_nb"
771,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.เวชการุณย์รัศมิ์,"11536","03"
4,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.เวชการุณย์รัศมิ์,"11536","03"
699,ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,"21526","03",เขตหนองจอก,รพ.เวชการุณย์รัศมิ์,"11536","03"
79,ศูนย์บริการสาธารณสุข64 คลองสามวา,"22455","46",เขตคลองสามวา,รพ.เวชการุณย์รัศมิ์,"11536","03"
1,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,"13657","31",เขตบางคอแหลม,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข25 ห้วยขวาง,"13670","17",เขตห้วยขวาง,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.เลิดสิน,"11469","04"
13,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09",เขตพระโขนง,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.เลิดสิน,"11469","04"
5,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.เลิดสิน,"11469","04"
7,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07",เขตปทุมวัน,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,"13652","12",เขตยานนาวา,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,"13659","31",เขตบางคอแหลม,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18",เขตคลองสาน,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข36 บุคคโล,"13681","15",เขตธนบุรี,รพ.เลิดสิน,"11469","04"
1,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.เลิดสิน,"11469","04"
2,ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,"13701","24",เขตราษฎร์บูรณะ,รพ.เลิดสิน,"11469","04"
4,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.เลิดสิน,"11469","04"
5,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04"
213,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04",เขตบางรัก,รพ.เลิดสิน,"11469","04"
6,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
3,คลินิกเวชกรรมพีเอ็มซี,"42047","36",เขตดอนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
1,ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,"13664","29",เขตบางซื่อ,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
1,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
6,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
15,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
1,ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,"13703","36",เขตดอนเมือง,สถาบันพัฒนาสุขภาวะเขตเมือง,"12243","05"
2,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06"
4,ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,"42790","27",เขตบึงกุ่ม,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06"
6,ศูนย์บริการสาธารณสุข10 สุขุมวิท,"13655","33",เขตคลองเตย,รพ.ตำรวจ,"14173","07"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07"
3,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07",เขตปทุมวัน,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
3,ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,"13657","31",เขตบางคอแหลม,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
2,ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,"13659","31",เขตบางคอแหลม,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
2,ศูนย์บริการสาธารณสุข17 ประชานิเวศน์,"13662","30",เขตจตุจักร,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
2,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
3,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
9,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
8,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
2,ศูนย์บริการสาธารณสุข3 บางซื่อ,"13648","29",เขตบางซื่อ,รพ.ตำรวจ,"14173","07"
1,ศูนย์บริการสาธารณสุข4 ดินแดง,"13649","26",เขตดินแดง,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14",เขตพญาไท,รพ.ตำรวจ,"14173","07"
4,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.ตำรวจ,"14173","07"
40,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.ตำรวจ,"14173","07"
38,ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,"13666","39",เขตวัฒนา,รพ.ตำรวจ,"14173","07"
3,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.ตำรวจ,"14173","07"
19,ศูนย์บริการสาธารณสุข25 ห้วยขวาง,"13670","17",เขตห้วยขวาง,รพ.ตำรวจ,"14173","07"
1,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข31 เอิบ - จิตร ทังสุบุตร,"13676","25",เขตบางพลัด,รพ.ตำรวจ,"14173","07"
10,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09",เขตพระโขนง,รพ.ตำรวจ,"14173","07"
16,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.ตำรวจ,"14173","07"
1,ศูนย์บริการสาธารณสุข51 จตุจักร,"13694","30",เขตจตุจักร,รพ.ตำรวจ,"14173","07"
6,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,รพ.ตำรวจ,"14173","07"
1,รพ.สมเด็จพระปิ่นเกล้า,"11478","15",เขตธนบุรี,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07"
2,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07"
1,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
4,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
3,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
2,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
1,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
15,ศูนย์บริการสาธารณสุข52 สามเสนนอก,"13695","26",เขตดินแดง,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
1,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
6,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
1,ศูนย์บริการสาธารณสุข63 สมาคมแต้จิ๋วแห่งประเทศไทย,"14818","28",เขตสาทร,รพ.จุฬาลงกรณ์สภากาชาดไทย,"13756","07"
10,ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,"13647","37",เขตราชเทวี,รพ.ตำรวจ,"14173","07"
231,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07",เขตปทุมวัน,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข7 บุญมี ปุรุราชรังสรรค์,"13652","12",เขตยานนาวา,รพ.ตำรวจ,"14173","07"
5,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข9  ประชาธิปไตย,"13654","01",เขตพระนคร,รพ.ตำรวจ,"14173","07"
142,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04",เขตบางรัก,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18",เขตคลองสาน,รพ.ตำรวจ,"14173","07"
1,ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,"13677","09",เขตพระโขนง,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข35 หัวหมาก,"13680","06",เขตบางกะปิ,รพ.ตำรวจ,"14173","07"
3,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.ตำรวจ,"14173","07"
1,ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม,"21748","38",เขตลาดพร้าว,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.ตำรวจ,"14173","07"
2,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.ตำรวจ,"14173","07"
208,ศูนย์บริการสาธารณสุข1 สะพานมอญ,"13646","01",เขตพระนคร,รพ.กลาง,"11537","08"
11,ศูนย์บริการสาธารณสุข2 วัดมักกะสัน,"13647","37",เขตราชเทวี,รพ.กลาง,"11537","08"
180,ศูนย์บริการสาธารณสุข3 บางซื่อ,"13648","29",เขตบางซื่อ,รพ.กลาง,"11537","08"
291,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07",เขตปทุมวัน,รพ.กลาง,"11537","08"
490,ศูนย์บริการสาธารณสุข6 สโมสรวัฒนธรรมหญิง,"13651","02",เขตดุสิต,รพ.กลาง,"11537","08"
12,ศูนย์บริการสาธารณสุข8  บุญรอด รุ่งเรือง,"13653","47",เขตบางนา,รพ.กลาง,"11537","08"
158,ศูนย์บริการสาธารณสุข10 สุขุมวิท,"13655","33",เขตคลองเตย,รพ.กลาง,"11537","08"
1,ศูนย์บริการสาธารณสุข12 จันทร์เที่ยง เนตรวิเศษ,"13657","31",เขตบางคอแหลม,รพ.กลาง,"11537","08"
3,ศูนย์บริการสาธารณสุข14 แก้ว สีบุญเรือง,"13659","31",เขตบางคอแหลม,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข15 ลาดพร้าว,"13660","17",เขตห้วยขวาง,รพ.กลาง,"11537","08"
11,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.กลาง,"11537","08"
135,ศูนย์บริการสาธารณสุข19 วงศ์สว่าง,"13664","29",เขตบางซื่อ,รพ.กลาง,"11537","08"
1,ศูนย์บริการสาธารณสุข27 จันทร์ฉิมไพบูลย์,"13672","15",เขตธนบุรี,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข33 วัดหงส์รัตนาราม,"13678","16",เขตบางกอกใหญ่,รพ.กลาง,"11537","08"
1,ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,"13682","34",เขตสวนหลวง,รพ.กลาง,"11537","08"
22,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข55 เดชะสัมพันธ์,"13698","12",เขตยานนาวา,รพ.กลาง,"11537","08"
3,ศูนย์บริการสาธารณสุข58 ล้อม-พิมเสนฟักอุดม,"13701","24",เขตราษฎร์บูรณะ,รพ.กลาง,"11537","08"
24,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,รพ.กลาง,"11537","08"
5,ศูนย์บริการสาธารณสุข62 ตวงรัชฎ์ ศศะนาวิน,"13705","22",เขตภาษีเจริญ,รพ.กลาง,"11537","08"
6,ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม,"21748","38",เขตลาดพร้าว,รพ.กลาง,"11537","08"
1553,ศูนย์บริการสาธารณสุข9  ประชาธิปไตย,"13654","01",เขตพระนคร,รพ.กลาง,"11537","08"
106,ศูนย์บริการสาธารณสุข11 ประดิพัทธ์,"13656","14",เขตพญาไท,รพ.กลาง,"11537","08"
767,ศูนย์บริการสาธารณสุข13 ไมตรีวานิช,"13658","13",เขตสัมพันธวงศ์,รพ.กลาง,"11537","08"
46,ศูนย์บริการสาธารณสุข21 วัดธาตุทอง,"13666","39",เขตวัฒนา,รพ.กลาง,"11537","08"
7,ศูนย์บริการสาธารณสุข22 วัดปากบ่อ,"13667","34",เขตสวนหลวง,รพ.กลาง,"11537","08"
642,ศูนย์บริการสาธารณสุข23 สี่พระยา,"13668","04",เขตบางรัก,รพ.กลาง,"11537","08"
3,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,รพ.กลาง,"11537","08"
5,ศูนย์บริการสาธารณสุข25 ห้วยขวาง,"13670","17",เขตห้วยขวาง,รพ.กลาง,"11537","08"
3,ศูนย์บริการสาธารณสุข26 เจ้าคุณพระประยูรวงศ์,"13671","15",เขตธนบุรี,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข28 กรุงธนบุรี,"13673","18",เขตคลองสาน,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข31 เอิบ - จิตร ทังสุบุตร,"13676","25",เขตบางพลัด,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข38 จี๊ด-ทองคำบำเพ็ญ,"13683","02",เขตดุสิต,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข41 คลองเตย,"13686","33",เขตคลองเตย,รพ.กลาง,"11537","08"
5,ศูนย์บริการสาธารณสุข42 ถนอม ทองสิมา,"13687","21",เขตบางขุนเทียน,รพ.กลาง,"11537","08"
12,ศูนย์บริการสาธารณสุข47 คลองขวาง,"13690","22",เขตภาษีเจริญ,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข49 วัดชัยพฤกษมาลา,"13692","19",เขตตลิ่งชัน,รพ.กลาง,"11537","08"
3,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข51 จตุจักร,"13694","30",เขตจตุจักร,รพ.กลาง,"11537","08"
5,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.กลาง,"11537","08"
7,ศูนย์บริการสาธารณสุข60 รสสุคนธ์ มโนชญากร,"13703","36",เขตดอนเมือง,รพ.กลาง,"11537","08"
7,ศูนย์บริการสาธารณสุข63 สมาคมแต้จิ๋วแห่งประเทศไทย,"14818","28",เขตสาทร,รพ.กลาง,"11537","08"
1,พรหมธาดาคลีนิกเวชกรรม สาขาบึงกุ่ม,"15669","27",เขตบึงกุ่ม,รพ.กลาง,"11537","08"
10,ศูนย์บริการสาธารณสุข65 รักษาศุข บางบอน,"21486","50",เขตบางบอน,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,"21526","03",เขตหนองจอก,รพ.กลาง,"11537","08"
4,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,รพ.กลาง,"11537","08"
2,ศูนย์บริการสาธารณสุข67 ทวีวัฒนา,"23229","48",เขตทวีวัฒนา,รพ.กลาง,"11537","08"
10,รพ.กลาง,"11537","08",เขตป้อมปราบศัตรูพ่าย,ศูนย์บริการสาธารณสุข20 ป้อมปราบศัตรูพ่าย,"13665","08"
1,ศูนย์บริการสาธารณสุข3 บางซื่อ,"13648","29",เขตบางซื่อ,ศูนย์บริการสาธารณสุข20 ป้อมปราบศัตรูพ่าย,"13665","08"
2,ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,"13677","09",เขตพระโขนง,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09"
1,ศูนย์บริการสาธารณสุข48 นาควัชระ อุทิศ,"13691","23",เขตหนองแขม,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
2,ศูนย์บริการสาธารณสุข5 จุฬาลงกรณ์,"13650","07",เขตปทุมวัน,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
8,ศูนย์บริการสาธารณสุข37 ประสงค์ -สุดสาคร,"13682","34",เขตสวนหลวง,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
2,ศูนย์บริการสาธารณสุข50 บึงกุ่ม,"13693","27",เขตบึงกุ่ม,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
1,ศูนย์บริการสาธารณสุข57 บุญเรือง ล้ำเลิศ,"13700","32",เขตประเวศ,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
4,ศูนย์บริการสาธารณสุข59 ทุ่งครุ,"13702","49",เขตทุ่งครุ,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
3,ศูนย์บริการสาธารณสุข61 สังวาลย์ ทัสนารมย์,"13704","42",เขตสายไหม,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
2,มีนสิริสหคลินิก,"41989","10",เขตมีนบุรี,รพ.นพรัตนราชธานี คุ้มเกล้า,"77468","10"
3,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
2,ศูนย์บริการสาธารณสุข32 มาริษ ตินตมุสิก,"13677","09",เขตพระโขนง,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
128,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
12,ศูนย์บริการสาธารณสุข44 ลำผักชี หนองจอก,"21526","03",เขตหนองจอก,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
1,ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม,"21748","38",เขตลาดพร้าว,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
3,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
37,ศูนย์บริการสาธารณสุข68 สะพานสูง,"23159","44",เขตสะพานสูง,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
4,ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,"42790","27",เขตบึงกุ่ม,นวมินทร์  โรงพยาบาลทั่วไปขนาดใหญ่,"11595","10"
2,นวมินทร์ 1 สหคลินิก,"41903","10",เขตมีนบุรี,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10"
12,ธรรมพิชญาคลินิกเวชกรรม สาขาบึงกุ่ม,"42790","27",เขตบึงกุ่ม,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10"
2,ศูนย์บริการสาธารณสุข24  บางเขน,"13669","30",เขตจตุจักร,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
1,ศูนย์บริการสาธารณสุข34 โพธิ์ศรี,"13679","09",เขตพระโขนง,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
63,ศูนย์บริการสาธารณสุข43  มีนบุรี,"13688","10",เขตมีนบุรี,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
1417,ศูนย์บริการสาธารณสุข45 ร่มเกล้า ลาดกระบัง,"21755","11",เขตลาดกระบัง,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
1,ศูนย์บริการสาธารณสุข69 คันนายาว,"41797","43",เขตคันนายาว,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
383,ศูนย์บริการสาธารณสุข46 กันตารัติอุทิศ,"13689","11",เขตลาดกระบัง,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
4,ศูนย์บริการสาธารณสุข56 ทับเจริญ,"13699","27",เขตบึงกุ่ม,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
1,ศูนย์บริการสาธารณสุข16 ลุมพินี,"13661","07",เขตปทุมวัน,รพ.ลาดกระบังกรุงเทพมหานคร,"11538","11"
